Name,Address,City,Category,Rating,URL
Picante Picante,156 W 231st St,Bronx,Mexican,4.5,http://www.yelp.com/biz/picante-picante-bronx-2
Arthur Avenue Cafe,2329 Arthur Ave,Bronx,Coffee & Tea,4.0,http://www.yelp.com/biz/arthur-avenue-cafe-bronx
Broadway Joe's Pizza,5983 Broadway,Bronx,Pizza,4.5,http://www.yelp.com/biz/broadway-joes-pizza-bronx
VIP's Cafe,131 E Gun Hill Rd,Bronx,Sandwiches,3.0,http://www.yelp.com/biz/vips-cafe-bronx-2
Rambling House,4292 Katonah Ave,Bronx,Pubs,4.0,http://www.yelp.com/biz/rambling-house-bronx
Com Tam Ninh Kieu,2641 Jerome Ave,Bronx,Vietnamese,4.0,http://www.yelp.com/biz/com-tam-ninh-kieu-bronx
Curry Spot,4268 Katonah Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/curry-spot-bronx
Liebman's Kosher Delicatessen,552 W 235th St,Bronx,Delis,4.0,http://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx
El Economico Restaurant,5589 Broadway,Bronx,Latin American,4.0,http://www.yelp.com/biz/el-economico-restaurant-bronx
Parrilla Latina Restaurant,2501 Webster Ave,Bronx,Latin American,3.0,http://www.yelp.com/biz/parrilla-latina-restaurant-bronx
Rambling House,4292 Katonah Ave,Bronx,Pubs,4.0,http://www.yelp.com/biz/rambling-house-bronx
Curry Spot,4268 Katonah Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/curry-spot-bronx
Sal's Pizzeria,3167 Bainbridge Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/sals-pizzeria-bronx
Tino's Delicatessen,2410 Arthur Ave,Bronx,Delis,4.5,http://www.yelp.com/biz/tinos-delicatessen-bronx
Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,Pizza,4.5,http://www.yelp.com/biz/sorrento-pizzeria-bronx
Three Boys From Italy,704 Burke Ave,Bronx,Pizza,4.5,http://www.yelp.com/biz/three-boys-from-italy-bronx
Eileens Country Kitchen,964 McLean Ave,Yonkers,American (Traditional),3.5,http://www.yelp.com/biz/eileens-country-kitchen-yonkers
VIP's Cafe,131 E Gun Hill Rd,Bronx,Sandwiches,3.0,http://www.yelp.com/biz/vips-cafe-bronx-2
Good To Go,1894 Eastchester Rd,Bronx,American (Traditional),3.5,http://www.yelp.com/biz/good-to-go-bronx
John & Joe's Pizzeria,749 Lydig Ave,Bronx,Pizza,4.5,http://www.yelp.com/biz/john-and-joes-pizzeria-bronx
Mei Mei Restaurant,2833 Grand Concourse,Bronx,Chinese,4.0,http://www.yelp.com/biz/mei-mei-restaurant-bronx
Venezia Pizzeria,1115 Astor Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/venezia-pizzeria-bronx
Patrizia's of Woodlawn,4358 Katonah Ave,Bronx,Italian,3.5,http://www.yelp.com/biz/patrizias-of-woodlawn-bronx
Green Light Cuisine,737 Lydig Ave,Bronx,Vegetarian,3.5,http://www.yelp.com/biz/green-light-cuisine-bronx
Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,Lounges,4.0,http://www.yelp.com/biz/michaelangelos-little-italy-bronx
Feroza's Restaurant Roti,716 Burke Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/ferozas-restaurant-roti-bronx
TGI Fridays,51780 E Gun Hill Rd,Bronx,American (Traditional),2.5,http://www.yelp.com/biz/tgi-fridays-bronx
Emilio's Pizza,1051 Morris Park Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/emilios-pizza-bronx-2
Tomo Sushi - Grill,642 Mclean Ave,Yonkers,Sushi Bars,4.0,http://www.yelp.com/biz/tomo-sushi-grill-yonkers
Caridad and Louie's Restaurant,1660 E Gun Hill Rd,Bronx,Italian,3.5,http://www.yelp.com/biz/caridad-and-louies-restaurant-bronx
Caridad and Louie's Restaurant,1660 E Gun Hill Rd,Bronx,Italian,3.5,http://www.yelp.com/biz/caridad-and-louies-restaurant-bronx
Panera Bread,340 Baychester Ave,Bronx,Sandwiches,3.5,http://www.yelp.com/biz/panera-bread-bronx
